mountain,filename,pts_count,start_ele,max_ele,end_ele,score
가리산,가리산_0000000002.gpx,513,368.3,1037.4,489.2,1482.7369999999999
가리왕산,가리왕산_0000000001.gpx,793,439.4,1596.6,443.8,2674.684
가야산,가야산_0000000003.gpx,497,554.3,1180.3,573.8,1198.464
가지산,가지산_0000000001.gpx,718,309.2,1269.7,327.4,2329.63
감악산,감악산_0000000004.gpx,572,63.0,692.0,102.0,1777.0
강천산,강천산_0000000005.gpx,779,180.0,599.1,264.5,1441.223
계룡산,계룡산_0000000003.gpx,139,150.3,766.2,221.6,1220.34
공작산,공작산_0000000003.gpx,1022,181.1,885.0,215.3,2253.336
관악산,관악산_0000000003.gpx,727,101.2,657.4,97.5,1765.033
구병산,구병산_0000000001.gpx,363,222.0,897.8,251.2,1503.757
금산,금산_0000000001.gpx,611,136.2,727.4,157.5,1687.122
금수산,금수산_0000000003.gpx,560,205.2,1040.9,170.6,2104.243
금오산,금오산_0000000001.gpx,704,138.5,1001.6,158.3,2291.9089999999997
금정산,금정산_0000000030.gpx,955,35.0,750.0,39.0,2376.0
깃대봉,깃대봉_0000000001.gpx,397,49.7,368.0,59.1,1003.3149999999999
남산,남산_0000000003.gpx,527,82.1,499.3,110.9,1280.435
내연산,내연산_0000000004.gpx,603,120.7,636.2,229.6,1516.1079999999997
내장산,내장산_0000000003.gpx,645,146.5,772.4,192.8,1752.501
대둔산,대둔산_0000000001.gpx,451,260.1,857.5,390.5,1385.9750000000001
대야산,대야산_0000000002.gpx,572,316.7,1000.8,311.8,1684.9029999999998
덕숭산,덕숭산_0000000001.gpx,464,118.0,520.0,121.0,1208.0
덕유산,덕유산_0000000009.gpx,495,649.4,1525.9,690.0,1603.346
덕항산,덕항산_0000000002.gpx,531,362.8,1110.7,475.8,1667.1470000000002
도락산,도락산_0000000001.gpx,547,295.0,984.9,337.2,1635.4180000000001
도봉산,도봉산_0000000026.gpx,773,57.6,560.8,61.8,1730.595
두타산,두타산_0000000004.gpx,606,169.9,1428.0,259.5,2970.476
마니산,마니산_0000000001.gpx,478,32.9,491.4,30.6,1370.4440000000002
마이산,마이산_0000000001.gpx,487,354.6,701.8,447.3,829.0339999999999
명성산,명성산_0000000001.gpx,581,245.3,926.2,297.0,1703.9160000000002
명지산,명지산_0000000001.gpx,478,237.0,1242.6,282.3,2293.054
모악산,모악산_0000000001.gpx,627,118.1,812.7,208.7,1908.126
무등산,무등산_0000000002.gpx,688,141.2,895.8,175.3,2068.244
무학산,무학산_0000000004.gpx,759,129.2,784.0,63.4,2070.9519999999998
미륵산,미륵산_0000000001.gpx,433,55.9,455.5,88.5,1188.3
민주지산,민주지산_0000000001.gpx,805,561.4,1275.2,674.5,1691.194
방장산,방장산_0000000002.gpx,515,124.3,756.6,163.8,1655.403
방태산,방태산_0000000001.gpx,723,631.8,1447.2,673.5,1721.8689999999997
백덕산,백덕산_0000000004.gpx,672,517.5,1364.2,539.8,1875.168
백암산,백암산_0000000004.gpx,767,154.5,771.7,175.8,1847.088
백운산(광양),백운산(광양)_0000000003.gpx,1002,269.4,1135.1,212.8,2582.2700000000004
백운산(정선),백운산(정선)_0000000002.gpx,604,270.5,989.8,373.7,1783.3840000000002
백운산(포천),백운산(포천)_0000000004.gpx,1042,262.4,975.1,290.0,2208.831
변산,변산_0000000002.gpx,660,48.7,448.1,109.2,1413.078
북한산,북한산_0000000017.gpx,624,110.0,834.4,125.5,2003.2919999999997
비슬산,비슬산_0000000002.gpx,847,223.0,1116.3,393.6,2410.911
삼악산,삼악산_0000000011.gpx,571,97.0,911.8,366.2,2108.482
서대산,서대산_0000000004.gpx,571,272.1,925.5,211.4,1728.059
선운산,선운산_0000000002.gpx,714,59.7,463.7,57.6,1466.572
설악산,설악산_0000000005.gpx,681,227.9,1309.8,387.6,2635.9369999999994
성인봉,성인봉_0000000002.gpx,454,304.1,1003.4,146.2,1864.374
소백산,소백산_0000000005.gpx,568,441.7,1431.8,495.4,2106.4100000000003
소요산,소요산_0000000001.gpx,626,60.6,605.7,214.7,1659.133
속리산,속리산_0000000001.gpx,1005,391.1,1077.8,359.7,2050.106
신불산,신불산_0000000017.gpx,958,237.9,1189.8,227.9,2703.7270000000003
연화산,연화산_0000000001.gpx,535,131.1,573.7,143.8,1292.289
오대산,오대산_0000000004.gpx,506,994.5,1446.3,883.9,821.6870000000002
오봉산,오봉산_0000000002.gpx,700,226.0,818.0,273.0,1662.0
용문산,용문산_0000000005.gpx,375,72.3,974.6,281.4,2107.296
용화산,용화산_0000000008.gpx,794,251.4,852.5,192.0,1875.0570000000005
운문산,운문산_0000000009.gpx,823,206.8,1155.9,229.3,2530.8599999999997
운악산,운악산_0000000004.gpx,784,170.7,821.9,201.2,1928.413
운장산,운장산_0000000001.gpx,557,584.3,1134.8,382.3,1477.5589999999997
월악산,월악산_0000000002.gpx,686,232.8,968.9,255.3,1989.179
월출산,월출산_0000000001.gpx,582,60.8,797.2,194.4,1994.132
유명산,유명산_0000000006.gpx,497,111.2,886.0,300.7,1941.6460000000002
응봉산,응봉산_0000000001.gpx,841,236.1,1019.4,172.4,2298.831
장안산,장안산_0000000001.gpx,631,934.0,1259.4,708.4,799.075
재약산,재약산_0000000001.gpx,587,185.9,1206.0,233.1,2441.3
적상산,적상산_0000000001.gpx,226,335.1,997.6,261.7,1362.7979999999998
조계산,조계산_0000000002.gpx,890,183.7,861.3,263.8,2061.477
주왕산,주왕산_0000000001.gpx,332,299.2,747.0,323.6,929.934
주흘산,주흘산_0000000003.gpx,713,259.5,1100.1,246.0,2191.0609999999997
지리산,지리산_0000000001.gpx,634,646.1,1950.0,738.4,2595.657
지리산(통영),지리산(통영)_0000000001.gpx,491,34.7,424.0,60.0,1234.857
천관산,천관산_0000000005.gpx,705,79.8,755.8,148.8,1977.142
천마산,천마산_0000000004.gpx,634,131.3,805.2,118.4,1891.9
천성산,천성산_0000000002.gpx,694,34.0,882.2,69.6,2356.4
천태산,천태산_0000000001.gpx,440,204.1,733.1,250.8,1293.81
청량산,청량산_0000000001.gpx,431,414.0,882.4,235.8,1310.175
추월산,추월산_0000000003.gpx,631,154.8,750.3,155.8,1670.301
축령산,축령산_0000000003.gpx,736,251.6,852.1,333.0,1686.54
치악산,치악산_0000000001.gpx,747,451.6,1304.1,380.6,2142.366
칠갑산,칠갑산_0000000001.gpx,658,247.5,584.3,183.2,1343.285
태백산,태백산_0000000003.gpx,887,678.5,1542.7,834.5,1937.09
태화산,태화산_0000000002.gpx,691,203.6,1060.1,319.8,2200.761
팔공산,팔공산_0000000005.gpx,526,97.0,920.0,407.0,2075.0
팔봉산,팔봉산_0000000001.gpx,291,113.1,361.2,123.9,676.574
팔영산,팔영산_0000000001.gpx,622,21.0,633.0,64.0,1827.0
한라산,한라산_0000000002.gpx,980,612.5,791.3,464.8,1023.094
화악산,화악산_0000000006.gpx,364,278.1,1464.0,586.9,2458.464
화왕산,화왕산_0000000004.gpx,726,156.0,780.0,207.0,1820.0
황매산,황매산_0000000001.gpx,541,515.3,1124.8,504.4,1287.6130000000003
황석산,황석산_0000000007.gpx,982,467.6,1388.9,490.7,2356.8900000000003
황악산,황악산_0000000004.gpx,868,190.9,1141.7,310.3,2578.525
황장산,황장산_0000000001.gpx,478,501.5,1084.8,559.1,1142.9579999999999
희양산,희양산_0000000001.gpx,610,307.5,991.8,401.0,1671.1
